2010-05-13 12:01:17 Debug: Notice (8): Undefined property: ApisController::$RequestHandler in [C:\AppServ\www\projects\murl\controllers\apis_controller.php, line 23]
2010-05-13 12:53:57 Debug: Notice (8): Undefined property: MurlsController::$Session in [C:\AppServ\www\projects\murl\controllers\murls_controller.php, line 94]
2010-05-13 12:54:04 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
2010-05-13 12:54:11 Debug: Notice (8): Undefined property: MurlsController::$Session in [C:\AppServ\www\projects\murl\controllers\murls_controller.php, line 94]
2010-05-13 12:59:48 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
2010-05-13 12:59:50 Debug: Notice (8): Undefined property: MurlsController::$Session in [C:\AppServ\www\projects\murl\controllers\murls_controller.php, line 94]
2010-05-13 13:00:21 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
2010-05-13 13:00:23 Debug: Notice (8): Undefined property: MurlsController::$Session in [C:\AppServ\www\projects\murl\controllers\murls_controller.php, line 94]
2010-05-13 13:00:38 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
2010-05-13 13:00:40 Debug: Notice (8): Undefined property: MurlsController::$Session in [C:\AppServ\www\projects\murl\controllers\murls_controller.php, line 94]
2010-05-13 13:00:54 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
2010-05-13 13:00:55 Debug: Notice (8): Undefined property: View::$Session in [C:\AppServ\www\projects\murl\views\layouts\default.ctp, line 27]
